nameEnglish	marker	compulsory	level	highestNumberSuffix	nests	hasContent	printed	closed	occursIn	deprecated	description
Footnote reference mark	fm	No	Note	None	No	Always	Yes	Always	Footnote	No	Used where two or more locations in the scripture text should ideally refer the reader to the same footnote text (as seen in identical footnote text which is referred to at Gen 2.9 and Gen 2.17 in some English translations). Because the nature of this marker is related directly to the published form of the text, it is not intended for use in scripture authoring. It may be used during the publishing process to connect two callers to the same footnote text.
Cross-reference	x	No	Note	None	No	Always	Yes	Always	Text	No	Cross-references are entered inline within the main scripture body text. The boundaries of the cross-reference text are defined by an opening and closing marker.
"Cross-reference ""origin"" reference"	xo	No	Note	None	No	Always	Yes	Optional	Cross-reference	No	This is the chapter and verse(s) that note refers to. Chapter and verse numbers must have a separator between them.
Cross-reference keyword	xk	No	Note	None	No	Always	Yes	Optional	Cross-reference	No	A keyword from the scripture translation text which the target reference(s) also refer to.
Cross-reference quotation	xq	No	Note	None	No	Always	Yes	Optional	Cross-reference	No	A quotation from the scripture text. Use of a quotation would be intended to help the reader to understand the portion of text (or concept) for which the target reference(s) are being supplied.
Target reference(s)	xt	No	Note	None	No	Always	Yes	Optional	Cross-reference	No	The list of target scripture locations being provided as alternate references to the text (or concept) of the origin reference. This is a list of book name abbreviations and chapter + verse references, separated by semicolons (though there may be an alternate references format for this list in different areas and countries).
Target reference(s) extra/added text	xta	No	Note	None	No	Always	Yes	Optional	Cross-reference	No	Used for marking text which should be ignored when identifying or linking to cross reference target references.
Published cross reference origin text	xop	No	Internal	None	No	Always	Yes	Always	Cross-reference	No	In some texts, the content intended to be published in the position of the cross reference origin text \xo does not follow the typical chapter/separator/verse pattern. An origin reference following this pattern is required for validation of the cross reference location. \xop ...\xop* can be used in order to supply the content intended for publishing, similar to the use of \cp and vp …vp*.
Old Testament reference(s)	xot	No	Internal	None	No	Always	Yes	Always	Cross-reference	No	References (or other text) between these markers is material to be included only in published editions that contain the Old Testament books. (optional).
New Testament reference(s)	xnt	No	Internal	None	No	Always	Yes	Always	Cross-reference	No	References (or other text) between these markers is material to be included only in published editions that contain the New Testament books. (optional).
Deuterocanon reference(s)	xdc	No	Internal	None	No	Always	Yes	Always	Cross-reference	No	References (or other text) between these markers is material to be included only in published editions that contain the Deuterocanonical books. (optional).
Translator's addition	add	No	Internal	None	Yes	Always	Yes	Always	Text	No	A translator's explanation; words added by the translator for clarity – text which is not literally a part of the original language, but which was supplied to make the meaning of the original clear.
Quoted book title	bk	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Deuterocanonical addition	dc	No	Internal	None	No	Always	Yes	Always	Text	No	Deuterocanonical/LXX additions or insertions in the Protocanonical text.
Keyword/keyterm	k	No	Internal	None	No	Always	Yes	Always	Text	No	
Liturgical note/comment	lit	No	Newline	None	No	Always	Yes	No	Text	No	e.g. a guide which tells the reader/worshipper that he should recite a prayer or recitation etc.
Name of God/Deity	nd	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Ordinal number ending	ord	No	Internal	None	Yes	Always	Yes	Always	Text	No	"i.e. in ""1st""."
Proper name	pn	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Geographic proper name	png	No	Internal	None	Yes	Always	Yes	Always	Text	No	Particularly in China, there are various groups which have the practice of distinguishing visually between proper names of people and proper names of geographic places in published texts. Published materials may use a single underline to present proper names of people, and double underline to present proper names of geographic places. Alternatively, dotted underlines have been used for geographic proper names. Special presentation for names can assist readers to know what the text means, especially readers who may struggle with reading skills and may be overloaded by the transliterated names.
Quoted text	qt	No	Internal	None	Yes	Always	Yes	Always	Text	No	Old Testament quotations in the New Testament, or other quotations.
Signature	sig	No	Internal	None	Yes	Always	Yes	Always	Text	No	of the author of an epistle/letter.
Secondary language source	sls	No	Internal	None	No	Always	Yes	Always	Text	No	Passage of text based on a secondary language or alternate text source. E.g. The NBS02 has large sections of text in EZR and DAN in italics, to represent where the original text is in Aramaic, not Hebrew.
Transliterated word(s)	tl	No	Internal	None	Yes	Always	Yes	Always	Text	No	Or foreign words.
Words of Jesus	wj	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Emphasis text	em	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Bold text	bd	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Italic text	it	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Bold-italic text	bdit	No	Internal	None	No	Always	Yes	Always	Text	No	
Normal text	no	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Small-caps text	sc	No	Internal	None	Yes	Always	Yes	Always	Text	No	
Superscript text	sup	No	Internal	None	Yes	Always	Yes	Always	Text	No	Typically for use in critical edition footnotes.
Page break	pb	No	Newline	None	No	Never	Yes	No	Text	No	
Figure	fig	No	Note	None	No	Always	No	Always	Text	No	
Subject index entry	ndx	No	Internal	None	No	Always	No	Always	Text	No	Surround word(s) with this markup to indicate that it should appear in the subject index.
Ruby glossing	rb	No	Internal	None	No	Always	Yes	Always	Text	No	Used to mark the base text being annotated with ruby characters.
Pronunciation information	pro	No	Internal	None	No	Always	No	Always	Text	No	Used for Chinese/Japanese/Korean texts.
Wordlist/glossary/dictionary entry	w	No	Internal	None	No	Always	Yes	Always	Text	No	Surround word(s) with this markup to indicate that it should appear in the word list.
Greek wordlist entry	wg	No	Internal	None	No	Always	No	Always	Text	No	Surround word(s) with this markup to indicate that it should appear in the Greek word list.
Hebrew wordlist entry	wh	No	Internal	None	No	Always	No	Always	Text	No	Surround word(s) with this markup to indicate that it should appear in the Hebrew word list.
Aramaic wordlist entry	wa	No	Internal	None	No	Always	No	Always	Text	No	Surround word(s) with this markup to indicate that it should appear in the Aramaic word list.
Quotation start	qt-s	No	Internal	4	No	Always	Yes	Self	Text	No	Quotation start milestone. Typically used for indicating the speaker of the text. The (optional) number represents the level of nesting of the quotation being marked (i.e. a quote within a quote).
Quotation end	qt-e	No	Internal	4	No	Always	Yes	Self	Text	No	Quotation end milestone. Typically used for indicating the speaker of the text. The (optional) number represents the level of nesting of the quotation being marked (i.e. a quote within a quote).
Translator's section	ts	No	Newline	None	No	Never	No	No	Text	No	Translator’s section milestone. For identifying a section (chunk) of text suitable for translating at one time.
Translator's section start	ts-s	No	Newline	None	No	Never	No	Self	Text	No	Translator’s section start milestone. For identifying a section (chunk) of text suitable for translating at one time.
Translator's section end	ts-e	No	Newline	None	No	Never	No	Self	Text	No	Translator’s section end milestone. For identifying a section (chunk) of text suitable for translating at one time.
Extended footnote	ef	No	Internal	None	No	Always	Yes	Always	Text	No	Extended footnotes (for study Bibles) are entered inline within the main scripture body text. The boundaries of the footnote text are defined by an opening and closing marker.
Footnote summary	fs	No	Internal	None	No	Always	Yes	Optional	Footnote	Yes	"""Deprecated"" (i.e. use is strongly discouraged). A summary text for the concept/idea/quotation from the current Scripture text translation for which the note is being provided."
Extended cross-reference	ex	No	Internal	None	No	Always	Yes	Always	Text	No	Extended cross-references (for study Bibles) are entered inline within the main scripture body text. The boundaries of the cross-reference text are defined by an opening and closing marker.
Sidebar content	esb	No	Newline	None	No	Never	Yes	No	Text	No	In study Bibles. Finishes at next \esb marker or at end of chapter.
Category tag	cat	No	Internal	None	No	Always	Yes	Always	Text	No	Categories can optionally be assigned to extended study notes or sidebars by supplying a category tag (name) inside of opening and closing \cat … \cat* markers. Category tags should be restricted to alpha-numeric characters. A list of category tags are defined individually and uniquely for each study Bible project.
Peripheral content	periph	No	Newline	None	No	Always	Yes	No	Front and back matter	No	
PDI	pdi	No	Newline	None	No	Always	Yes	No	Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged) in 2004 for USFM 2.0. Substituted with embedded text markup."
PDE	pde	No	Newline	None	No	Always	Yes	No	Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged) in 2004 for USFM 2.0. Substituted with embedded text markup."
WR	wr	No	Internal	None	Yes	Always	Yes	Always	Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged) in 2004 for USFM 2.0. Was really a duplicate of \w … \w* used for marking words in the Scripture text which are included in the wordlist."
Span paragraph	ps	No	Newline	None	No	Sometimes	Yes	No	Text	Yes	"""Deprecated"" (i.e. use is strongly discouraged) in 2004 for USFM 2.0. This was used in conjunction with \nb to indicate that the paragraph spans the chapter boundary. It should be sufficient to just start the new chapter with \nb and use the appropriate paragraph marker for the previous chapter (\p, \m, etc.)."
Link text	jmp	No	Internal	None	No	Always	Yes	Always	Text	Yes	Available for associating linking attributes to a span of text when no other character level markup is already applied to the text at this location.
